country;region;year;decile;share
Argentina;28 main cities;2002;d1;1,0221286
Argentina;28 main cities;2002;d10;40,275959
Argentina;28 main cities;2002;d2;1,9522129
Argentina;28 main cities;2002;d3;2,956398
Argentina;28 main cities;2002;d4;4,0827055
Argentina;28 main cities;2002;d5;5,3533392
Argentina;28 main cities;2002;d6;6,8484044
Argentina;28 main cities;2002;d7;8,6815929
Argentina;28 main cities;2002;d8;11,62849
Argentina;28 main cities;2002;d9;17,198767
Argentina;28 main cities;2002;ratio_10_1;39,382544
Argentina;28 main cities;2003;d1;1,1434911
Argentina;28 main cities;2003;d10;39,748779
Argentina;28 main cities;2003;d2;2,0931454
Argentina;28 main cities;2003;d3;2,9977596
Argentina;28 main cities;2003;d4;4,0115499
Argentina;28 main cities;2003;d5;5,2450695
Argentina;28 main cities;2003;d6;6,8336797
Argentina;28 main cities;2003;d7;8,7875223
Argentina;28 main cities;2003;d8;11,845736
Argentina;28 main cities;2003;d9;17,293268
Argentina;28 main cities;2003;ratio_10_1;34,755263
Argentina;EPHC;2003;d1;1,119894
Argentina;EPHC;2003;d10;37,676349
Argentina;EPHC;2003;d2;2,2402928
Argentina;EPHC;2003;d3;3,226355
Argentina;EPHC;2003;d4;4,3720058
Argentina;EPHC;2003;d5;5,5748686
Argentina;EPHC;2003;d6;7,1227667
Argentina;EPHC;2003;d7;9,2389772
Argentina;EPHC;2003;d8;12,240792
Argentina;EPHC;2003;d9;17,187699
Argentina;EPHC;2003;ratio_10_1;33,636651
Argentina;EPHC;2004;d1;1,1892311
Argentina;EPHC;2004;d1;1,2362392
Argentina;EPHC;2004;d10;36,355902
Argentina;EPHC;2004;d10;35,251946
Argentina;EPHC;2004;d2;2,377165
Argentina;EPHC;2004;d2;2,3973022
Argentina;EPHC;2004;d3;3,4000032
Argentina;EPHC;2004;d3;3,4758091
Argentina;EPHC;2004;d4;4,4697414
Argentina;EPHC;2004;d4;4,6435881
Argentina;EPHC;2004;d5;5,7532047
Argentina;EPHC;2004;d5;6,0043136
Argentina;EPHC;2004;d6;7,3762732
Argentina;EPHC;2004;d6;7,5662126
Argentina;EPHC;2004;d7;9,4101352
Argentina;EPHC;2004;d7;9,5617068
Argentina;EPHC;2004;d8;12,364709
Argentina;EPHC;2004;d8;12,537174
Argentina;EPHC;2004;d9;17,303635
Argentina;EPHC;2004;d9;17,325709
Argentina;EPHC;2004;ratio_10_1;30,569201
Argentina;EPHC;2004;ratio_10_1;28,512554
Argentina;EPHC;2005;d1;1,2779841
Argentina;EPHC;2005;d1;1,2916103
Argentina;EPHC;2005;d10;35,105534
Argentina;EPHC;2005;d10;34,922704
Argentina;EPHC;2005;d2;2,5164202
Argentina;EPHC;2005;d2;2,5073385
Argentina;EPHC;2005;d3;3,6282683
Argentina;EPHC;2005;d3;3,5809992
Argentina;EPHC;2005;d4;4,7172416
Argentina;EPHC;2005;d4;4,766123
Argentina;EPHC;2005;d5;5,9829134
Argentina;EPHC;2005;d5;6,0887913
Argentina;EPHC;2005;d6;7,5802382
Argentina;EPHC;2005;d6;7,6409659
Argentina;EPHC;2005;d7;9,6064883
Argentina;EPHC;2005;d7;9,632616
Argentina;EPHC;2005;d8;12,423584
Argentina;EPHC;2005;d8;12,442428
Argentina;EPHC;2005;d9;17,161328
Argentina;EPHC;2005;d9;17,126424
Argentina;EPHC;2005;ratio_10_1;27,465552
Argentina;EPHC;2005;ratio_10_1;27,030647
Argentina;EPHC;2006;d1;1,283154
Argentina;EPHC;2006;d1;1,3115487
Argentina;EPHC;2006;d10;33,829982
Argentina;EPHC;2006;d10;33,770041
Argentina;EPHC;2006;d2;2,5572876
Argentina;EPHC;2006;d2;2,6290264
Argentina;EPHC;2006;d3;3,6300055
Argentina;EPHC;2006;d3;3,753965
Argentina;EPHC;2006;d4;4,8694403
Argentina;EPHC;2006;d4;4,9450472
Argentina;EPHC;2006;d5;6,269497
Argentina;EPHC;2006;d5;6,2945098
Argentina;EPHC;2006;d6;7,8354652
Argentina;EPHC;2006;d6;7,8955787
Argentina;EPHC;2006;d7;9,832442
Argentina;EPHC;2006;d7;9,9278294
Argentina;EPHC;2006;d8;12,625681
Argentina;EPHC;2006;d8;12,558877
Argentina;EPHC;2006;d9;17,267045
Argentina;EPHC;2006;d9;16,913577
