country;region;year;indicator;value
Argentina;15 main cities;1998;headcount_urban_USD3.65;7,1706739
Argentina;15 main cities;1998;headcount_urban_USD6.85;21,000514
Argentina;15 main cities;1998;nbi1_headcount_urban;39,249348
Argentina;15 main cities;1998;theil;0,47127517
Argentina;15 main cities;1998;wolfson;0,49665499
Argentina;28 main cities;1998;a1;0,36768024
Argentina;28 main cities;1998;a2;0,60469426
Argentina;28 main cities;1998;cv;1,3068674
Argentina;28 main cities;1998;e0;0,45871882
Argentina;28 main cities;1998;gini;0,50147055
Argentina;28 main cities;1998;gini_pci_urban;0,50147055
Argentina;28 main cities;1998;headcount_national_USD2.15;3,9691888
Argentina;28 main cities;1998;headcount_national_USD3.65;8,2785502
Argentina;28 main cities;1998;headcount_national_USD6.85;23,296012
Argentina;28 main cities;1998;headcount_urban_USD2.15;3,9691888
Argentina;28 main cities;1998;headcount_urban_USD3.65;8,2785502
Argentina;28 main cities;1998;headcount_urban_USD6.85;23,296012
Argentina;28 main cities;1998;nbi1_headcount_urban;40,212998
Argentina;28 main cities;1998;theil;0,47140591
Argentina;28 main cities;1998;wolfson;0,48811698
Argentina;28 main cities;1999;a1;0,35554887
Argentina;28 main cities;1999;a2;0,60571726
Argentina;28 main cities;1999;cv;1,2123832
Argentina;28 main cities;1999;e0;0,43930147
Argentina;28 main cities;1999;gini;0,49073175
Argentina;28 main cities;1999;gini_pci_urban;0,49073175
Argentina;28 main cities;1999;headcount_national_USD2.15;4,1879584
Argentina;28 main cities;1999;headcount_national_USD3.65;8,9165231
Argentina;28 main cities;1999;headcount_national_USD6.85;24,22496
Argentina;28 main cities;1999;headcount_urban_USD2.15;4,1879584
Argentina;28 main cities;1999;headcount_urban_USD3.65;8,9165231
Argentina;28 main cities;1999;headcount_urban_USD6.85;24,22496
Argentina;28 main cities;1999;nbi1_headcount_urban;40,109407
Argentina;28 main cities;1999;theil;0,44223613
Argentina;28 main cities;1999;wolfson;0,47300288
Argentina;28 main cities;2000;a1;0,37629934
Argentina;28 main cities;2000;a2;0,63811574
Argentina;28 main cities;2000;cv;1,2298321
Argentina;28 main cities;2000;e0;0,47191175
Argentina;28 main cities;2000;gini;0,50394908
Argentina;28 main cities;2000;gini_pci_urban;0,50394908
Argentina;28 main cities;2000;headcount_national_USD2.15;4,9882614
Argentina;28 main cities;2000;headcount_national_USD3.65;10,699219
Argentina;28 main cities;2000;headcount_national_USD6.85;26,296561
Argentina;28 main cities;2000;headcount_urban_USD2.15;4,9882614
Argentina;28 main cities;2000;headcount_urban_USD3.65;10,699219
Argentina;28 main cities;2000;headcount_urban_USD6.85;26,296561
Argentina;28 main cities;2000;nbi1_headcount_urban;39,286706
Argentina;28 main cities;2000;theil;0,46309705
Argentina;28 main cities;2000;wolfson;0,4973708
Argentina;28 main cities;2001;a1;0,40394465
Argentina;28 main cities;2001;a2;0,67467691
Argentina;28 main cities;2001;cv;1,2631522
Argentina;28 main cities;2001;e0;0,51749752
Argentina;28 main cities;2001;gini;0,52210494
Argentina;28 main cities;2001;gini_pci_urban;0,52210494
Argentina;28 main cities;2001;headcount_national_USD2.15;8,2347868
Argentina;28 main cities;2001;headcount_national_USD3.65;15,39769
Argentina;28 main cities;2001;headcount_national_USD6.85;31,067229
Argentina;28 main cities;2001;headcount_urban_USD2.15;8,2347868
Argentina;28 main cities;2001;headcount_urban_USD3.65;15,39769
Argentina;28 main cities;2001;headcount_urban_USD6.85;31,067229
Argentina;28 main cities;2001;nbi1_headcount_urban;40,031145
Argentina;28 main cities;2001;theil;0,49695482
Argentina;28 main cities;2001;wolfson;0,53973611
Argentina;28 main cities;2002;a1;0,41182159
Argentina;28 main cities;2002;a2;0,65739267
Argentina;28 main cities;2002;cv;1,3564945
Argentina;28 main cities;2002;e0;0,53087757
Argentina;28 main cities;2002;gini;0,53273861
Argentina;28 main cities;2002;gini_pci_urban;0,53273861
Argentina;28 main cities;2002;headcount_national_USD2.15;12,447155
Argentina;28 main cities;2002;headcount_national_USD3.65;23,971069
Argentina;28 main cities;2002;headcount_national_USD6.85;44,379776
Argentina;28 main cities;2002;headcount_urban_USD2.15;12,447155
Argentina;28 main cities;2002;headcount_urban_USD3.65;23,971069
Argentina;28 main cities;2002;headcount_urban_USD6.85;44,379776
Argentina;28 main cities;2002;nbi1_headcount_urban;38,478347
Argentina;28 main cities;2002;theil;0,53000377
Argentina;28 main cities;2002;wolfson;0,5250432
Argentina;28 main cities;2003;a1;0,40090389
Argentina;28 main cities;2003;a2;0,63732603
Argentina;28 main cities;2003;cv;1,3432447
Argentina;28 main cities;2003;e0;0,51278143
Argentina;28 main cities;2003;gini;0,5278957
Argentina;28 main cities;2003;gini_pci_urban;0,5278957
Argentina;28 main cities;2003;headcount_national_USD2.15;10,411906
Argentina;28 main cities;2003;headcount_national_USD2.15;5,3636474
Argentina;28 main cities;2003;headcount_national_USD3.65;23,081197
Argentina;28 main cities;2003;headcount_national_USD3.65;12,723564
Argentina;28 main cities;2003;headcount_national_USD6.85;44,339412
Argentina;28 main cities;2003;headcount_national_USD6.85;29,723225
Argentina;28 main cities;2003;headcount_urban_USD2.15;10,411906
Argentina;28 main cities;2003;headcount_urban_USD2.15;5,3636474
Argentina;28 main cities;2003;headcount_urban_USD3.65;23,081197
Argentina;28 main cities;2003;headcount_urban_USD3.65;12,723564
Argentina;28 main cities;2003;headcount_urban_USD6.85;44,339412
Argentina;28 main cities;2003;headcount_urban_USD6.85;29,723225
Argentina;28 main cities;2003;nbi1_headcount_urban;38,079841
Argentina;28 main cities;2003;theil;0,51852128
Argentina;28 main cities;2003;wolfson;0,55034064
Argentina;28 main cities;2004;headcount_national_USD2.15;4,5778244
Argentina;28 main cities;2004;headcount_national_USD2.15;3,8789884
Argentina;28 main cities;2004;headcount_national_USD3.65;11,181362
Argentina;28 main cities;2004;headcount_national_USD3.65;9,762799
Argentina;28 main cities;2004;headcount_national_USD6.85;27,423017
Argentina;28 main cities;2004;headcount_national_USD6.85;24,872259
Argentina;28 main cities;2004;headcount_urban_USD2.15;4,5778244
Argentina;28 main cities;2004;headcount_urban_USD2.15;3,8789884
Argentina;28 main cities;2004;headcount_urban_USD3.65;11,181362
Argentina;28 main cities;2004;headcount_urban_USD3.65;9,762799
Argentina;28 main cities;2004;headcount_urban_USD6.85;27,423017
Argentina;28 main cities;2004;headcount_urban_USD6.85;24,872259
Argentina;28 main cities;2005;headcount_national_USD2.15;3,1934122
Argentina;28 main cities;2005;headcount_national_USD2.15;2,68375
Argentina;28 main cities;2005;headcount_national_USD3.65;9,0166333
Argentina;28 main cities;2005;headcount_national_USD3.65;8,0051405
Argentina;28 main cities;2005;headcount_national_USD6.85;23,089005
Argentina;28 main cities;2005;headcount_national_USD6.85;20,962709
Argentina;28 main cities;2005;headcount_urban_USD2.15;3,1934122
Argentina;28 main cities;2005;headcount_urban_USD2.15;2,68375
Argentina;28 main cities;2005;headcount_urban_USD3.65;9,0166333
Argentina;28 main cities;2005;headcount_urban_USD3.65;8,0051405
